manuscript	mapped_by	Lane	expname	name	RH_cell	cell	condition	prot	rep	bigwig	fc_bw	meanBG	outerBG
TRUE	PK	VER8786	VER8786_TACL_RH_ChIPseq_eHAP1_C17_T_MAU2_WAPL	C17_TACL-ON_WAPL_rep1	C17_TMAU2	C17	TACL-ON	WAPL	rep1	/TACL/PK/4DN_ChIP/remap_Iwan/outputs/chip.signal_p-value/VER8786_TACL_RH_ChIPseq_eHAP1_C17_T_MAU2_WAPLxVER7726_TACL_RH_Ehap1_C17_TetR-hMAU2v2_Input.pval.signal.bigwig	/TACL/PK/4DN_ChIP/remap_Iwan/outputs/chip.signal_fold-change/VER8786_TACL_RH_ChIPseq_eHAP1_C17_T_MAU2_WAPLxVER7726_TACL_RH_Ehap1_C17_TetR-hMAU2v2_Input.fc.signal.bigwig	6.06	0.39
TRUE	PK	VER8786	VER8786_TACL_RH_ChIPseq_eHAP1_C17_T_MAU2_dCas9KRAB_Ctrl_input	C17_TACL-ON_CRISPRi-Ctrl_Input_rep1	C17_TMAU2_dCas9KRAB	C17	TACL-ON_CRISPRi-Ctrl	Input	rep1	NA	NA	NA	NA
TRUE	PK	VER8786	VER8786_TACL_RH_ChIPseq_eHAP1_C17_T_MAU2_dCas9KRAB_sgWAPL_2_input	C17_TACL-ON_CRISPRi-WAPL_Input_rep1	C17_TMAU2_dCas9KRAB	C17	TACL-ON_CRISPRi-WAPL	Input	rep1	NA	NA	NA	NA
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_CTCFAID_C22_TMAU2TIR1_Dox3h_FLAG_rep1	C17_CTCFAID_C22_TACL-OFF_FLAG_rep1	C17_CTCFAID_C22_TMAU2TIR1	C17_CTCFAID_C22	TACL-OFF	FLAG	rep1	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_Dox3h_FLAG_rep1_rep2.D703xD505_S49_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_Dox3h_FLAG_rep1_rep2.D703xD505_S49_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.fc.signal.bigwig	3.75	0.28
TRUE	PK	VER9308	NA	C17_CTCFAID_C22_TACL-OFF_FLAG_rep1_rep2	C17_CTCFAID_C22_TMAU2TIR1	C17_CTCFAID_C22	TACL-OFF	FLAG	rep1_rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_Dox3h_FLAG_rep1_rep2.rep.pooled_x_D712xD507_S82_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_Dox3h_FLAG_rep1_rep2.rep.pooled_x_D712xD507_S82_R1_001.srt.nodup.fc.signal.bigwig	7.9	0.36
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_CTCFAID_C22_TMAU2TIR1_Dox3h_FLAG_rep2	C17_CTCFAID_C22_TACL-OFF_FLAG_rep2	C17_CTCFAID_C22_TMAU2TIR1	C17_CTCFAID_C22	TACL-OFF	FLAG	rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_Dox3h_FLAG_rep1_rep2.D711xD502_S45_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_Dox3h_FLAG_rep1_rep2.D711xD502_S45_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.fc.signal.bigwig	5.09	0.36
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_Dox3h_FLAG_rep1	C17_CTCFAID_C22_TACL-OFF_IAA_FLAG_rep1	C17_CTCFAID_C22_TMAU2TIR1	C17_CTCFAID_C22	TACL-OFF_IAA	FLAG	rep1	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_Dox3h_FLAG_rep1_rep2.D705xD505_S51_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_Dox3h_FLAG_rep1_rep2.D705xD505_S51_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.fc.signal.bigwig	5.72	0.4
TRUE	PK	VER9308	NA	C17_CTCFAID_C22_TACL-OFF_IAA_FLAG_rep1_rep2	C17_CTCFAID_C22_TMAU2TIR1	C17_CTCFAID_C22	TACL-OFF_IAA	FLAG	rep1_rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_Dox3h_FLAG_rep1_rep2.rep.pooled_x_D712xD507_S82_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_Dox3h_FLAG_rep1_rep2.rep.pooled_x_D712xD507_S82_R1_001.srt.nodup.fc.signal.bigwig	12.39	0.47
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_Dox3h_FLAG_rep2	C17_CTCFAID_C22_TACL-OFF_IAA_FLAG_rep2	C17_CTCFAID_C22_TMAU2TIR1	C17_CTCFAID_C22	TACL-OFF_IAA	FLAG	rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_Dox3h_FLAG_rep1_rep2.D701xD505_S47_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_Dox3h_FLAG_rep1_rep2.D701xD505_S47_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.fc.signal.bigwig	7.97	0.45
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_CTCFAID_C22_TMAU2TIR1_FLAG_rep1	C17_CTCFAID_C22_TACL-ON_FLAG_rep1	C17_CTCFAID_C22_TMAU2TIR1	C17_CTCFAID_C22	TACL-ON	FLAG	rep1	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_FLAG_rep1_rep2.D710xD502_S44_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_FLAG_rep1_rep2.D710xD502_S44_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.fc.signal.bigwig	5.73	0.38
TRUE	PK	VER9308	NA	C17_CTCFAID_C22_TACL-ON_FLAG_rep1_rep2	C17_CTCFAID_C22_TMAU2TIR1	C17_CTCFAID_C22	TACL-ON	FLAG	rep1_rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_FLAG_rep1_rep2.rep.pooled_x_D712xD507_S82_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_FLAG_rep1_rep2.rep.pooled_x_D712xD507_S82_R1_001.srt.nodup.fc.signal.bigwig	10.12	0.45
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_CTCFAID_C22_TMAU2TIR1_FLAG_rep2	C17_CTCFAID_C22_TACL-ON_FLAG_rep2	C17_CTCFAID_C22_TMAU2TIR1	C17_CTCFAID_C22	TACL-ON	FLAG	rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_FLAG_rep1_rep2.D702xD505_S48_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_FLAG_rep1_rep2.D702xD505_S48_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.fc.signal.bigwig	5.77	0.51
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_CTCFAID_C22_TMAU2TIR1_Input_rep1	C17_CTCFAID_C22_TACL-ON_Input_rep1	C17_CTCFAID_C22_TMAU2TIR1	C17_CTCFAID_C22	TACL-ON	Input	rep1	NA	NA	NA	NA
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_FLAG_rep1	C17_CTCFAID_C22_TACL-ON_IAA_FLAG_rep1	C17_CTCFAID_C22_TMAU2TIR1	C17_CTCFAID_C22	TACL-ON_IAA	FLAG	rep1	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_FLAG_rep1_rep2.D704xD505_S50_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_FLAG_rep1_rep2.D704xD505_S50_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.fc.signal.bigwig	6.74	0.41
TRUE	PK	VER9308	NA	C17_CTCFAID_C22_TACL-ON_IAA_FLAG_rep1_rep2	C17_CTCFAID_C22_TMAU2TIR1	C17_CTCFAID_C22	TACL-ON_IAA	FLAG	rep1_rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_FLAG_rep1_rep2.rep.pooled_x_D712xD507_S82_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_FLAG_rep1_rep2.rep.pooled_x_D712xD507_S82_R1_001.srt.nodup.fc.signal.bigwig	10.68	0.41
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_FLAG_rep2	C17_CTCFAID_C22_TACL-ON_IAA_FLAG_rep2	C17_CTCFAID_C22_TMAU2TIR1	C17_CTCFAID_C22	TACL-ON_IAA	FLAG	rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_FLAG_rep1_rep2.D712xD502_S46_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_CTCFAID_C22_TMAU2TIR1_IAA3h_FLAG_rep1_rep2.D712xD502_S46_R1_001.srt.nodup_x_D712xD507_S82_R1_001.srt.nodup.fc.signal.bigwig	4.99	0.47
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_Dox3h_FLAG_rep1	C17_PDS5AAID_B10_TACL-OFF_FLAG_rep1	C17_PDS5AAID_B10_TMAU2TIR1	C17_PDS5AAID_B10	TACL-OFF	FLAG	rep1	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_Dox3h_FLAG_rep1_rep2.D709xD506_S67_R1_001.srt.nodup_x_D703xD508_S85_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_Dox3h_FLAG_rep1_rep2.D709xD506_S67_R1_001.srt.nodup_x_D703xD508_S85_R1_001.srt.nodup.fc.signal.bigwig	6.86	0.37
TRUE	PK	VER9308	NA	C17_PDS5AAID_B10_TACL-OFF_FLAG_rep1_rep2	C17_PDS5AAID_B10_TMAU2TIR1	C17_PDS5AAID_B10	TACL-OFF	FLAG	rep1_rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_Dox3h_FLAG_rep1_rep2.rep.pooled_x_D703xD508_S85_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_Dox3h_FLAG_rep1_rep2.rep.pooled_x_D703xD508_S85_R1_001.srt.nodup.fc.signal.bigwig	8.9	0.43
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_Dox3h_FLAG_rep2	C17_PDS5AAID_B10_TACL-OFF_FLAG_rep2	C17_PDS5AAID_B10_TMAU2TIR1	C17_PDS5AAID_B10	TACL-OFF	FLAG	rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_Dox3h_FLAG_rep1_rep2.D712xD506_S70_R1_001.srt.nodup_x_D703xD508_S85_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_Dox3h_FLAG_rep1_rep2.D712xD506_S70_R1_001.srt.nodup_x_D703xD508_S85_R1_001.srt.nodup.fc.signal.bigwig	2.96	0.29
TRUE	PK	VER9574	VER9574_TACL_RH_ChIP_eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_Dox3h_NIPBL_rep1	C17_PDS5AAID_B10_TACL-OFF_NIPBL_rep1	C17_PDS5AAID_B10_TMAU2TIR1	C17_PDS5AAID_B10	TACL-OFF	NIPBL	rep1	/TACL/PK/4DN_ChIP/VER9574/outputs/chip.signal_p-value/VER9574_TACL_RH_ChIP_eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_Dox3h_NIPBL_rep1.pval.signal.bigwig	/TACL/PK/4DN_ChIP/VER9574/outputs/chip.signal_fold-change/VER9574_TACL_RH_ChIP_eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_Dox3h_NIPBL_rep1.fc.signal.bigwig	0.91	0.33
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_FLAG_rep1	C17_PDS5AAID_B10_TACL-ON_FLAG_rep1	C17_PDS5AAID_B10_TMAU2TIR1	C17_PDS5AAID_B10	TACL-ON	FLAG	rep1	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_FLAG_rep2_rep1.D711xD506_S69_R1_001.srt.nodup_x_D703xD508_S85_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_FLAG_rep2_rep1.D711xD506_S69_R1_001.srt.nodup_x_D703xD508_S85_R1_001.srt.nodup.fc.signal.bigwig	3.74	0.4
TRUE	PK	VER9308	NA	C17_PDS5AAID_B10_TACL-ON_FLAG_rep1_rep2	C17_PDS5AAID_B10_TMAU2TIR1	C17_PDS5AAID_B10	TACL-ON	FLAG	rep1_rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_FLAG_rep2_rep1.rep.pooled_x_D703xD508_S85_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_FLAG_rep2_rep1.rep.pooled_x_D703xD508_S85_R1_001.srt.nodup.fc.signal.bigwig	7.1	0.39
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_FLAG_rep2	C17_PDS5AAID_B10_TACL-ON_FLAG_rep2	C17_PDS5AAID_B10_TMAU2TIR1	C17_PDS5AAID_B10	TACL-ON	FLAG	rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_FLAG_rep2_rep1.D708xD506_S66_R1_001.srt.nodup_x_D703xD508_S85_R1_001.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_PDS5AAID_B10_TMAU2TIR1_FLAG_rep2_rep1.D708xD506_S66_R1_001.srt.nodup_x_D703xD508_S85_R1_001.srt.nodup.fc.signal.bigwig	4.37	0.45
